Year,Event,AverageWeight
1904,"Athletics Men's 2,590 metres Steeplechase",64.0
1904,Athletics Men's 200 metres,67.75
1904,Athletics Men's 200 metres Hurdles,66.0
1904,"Athletics Men's 4 mile, Team",63.6
1904,Athletics Men's 400 metres,72.5
1904,Athletics Men's 400 metres Hurdles,68.5
1904,Athletics Men's 56-pound Weight Throw,101.0
1904,Athletics Men's 60 metres,68.83333333333333
1904,Athletics Men's 800 metres,67.66666666666667
1904,Athletics Men's All-Around Championship,84.0
1904,Athletics Men's Discus Throw,95.8
1904,Athletics Men's Hammer Throw,103.33333333333333
1904,Athletics Men's High Jump,82.0
1904,Athletics Men's Long Jump,74.0
1904,Athletics Men's Marathon,58.5
1904,Athletics Men's Pole Vault,64.0
1904,Athletics Men's Shot Put,94.75
1904,Athletics Men's Standing High Jump,73.5
1904,Athletics Men's Standing Long Jump,79.0
1904,Athletics Men's Standing Triple Jump,79.0
1904,Athletics Men's Triple Jump,78.66666666666667
1904,Boxing Men's Bantamweight,49.5
1904,Boxing Men's Featherweight,54.5
1904,Boxing Men's Flyweight,48.0
1904,Boxing Men's Heavyweight,77.0
1904,Boxing Men's Lightweight,60.5
1904,Boxing Men's Middleweight,71.0
1904,Boxing Men's Welterweight,61.75
1904,Cycling Men's 1 mile,
1904,Cycling Men's 1/2 mile,
1904,Cycling Men's 1/3 mile,
1904,Cycling Men's 1/4 mile,
1904,Cycling Men's 2 mile,
1904,Cycling Men's 25 mile,
1904,Cycling Men's 5 mile,
1904,Diving Men's Springboard,
1904,"Fencing Men's Foil, Individual",
1904,"Fencing Men's Foil, Team",
1904,"Fencing Men's Sabre, Individual",
1904,"Fencing Men's Single Sticks, Individual",
1904,"Fencing Men's epee, Individual",
1904,Football Men's Football,60.0
1904,Golf Men's Individual,
1904,Golf Men's Team,
1904,Gymnastics Men's Club Swinging,
1904,Gymnastics Men's Horizontal Bar,
1904,Gymnastics Men's Horse Vault,
1904,Gymnastics Men's Individual All-Around,69.5
1904,"Gymnastics Men's Individual All-Around, 4 Events",
1904,"Gymnastics Men's Individual All-Around, Apparatus Work",69.5
1904,"Gymnastics Men's Individual All-Around, Field Sports",69.5
1904,Gymnastics Men's Parallel Bars,
1904,Gymnastics Men's Rings,
1904,Gymnastics Men's Rope Climbing,
1904,Gymnastics Men's Side Horse,
1904,Gymnastics Men's Team All-Around,69.0
1904,Lacrosse Men's Lacrosse,76.71428571428571
1904,Roque Men's Singles,
1904,Rowing Men's Coxed Eights,75.0
1904,Rowing Men's Coxless Fours,
1904,Rowing Men's Coxless Pairs,
1904,Rowing Men's Double Sculls,
1904,Rowing Men's Single Sculls,
1904,Swimming Men's 100 Yard Backstroke,
1904,Swimming Men's 100 yard Freestyle,76.5
1904,Swimming Men's 220 yard Freestyle,70.0
1904,Swimming Men's 4 x 50 Yard Freestyle Relay,68.0
1904,Swimming Men's 440 Yard Breaststroke,
1904,Swimming Men's 440 yard Freestyle,70.0
1904,Swimming Men's 50 yard Freestyle,76.5
1904,Swimming Men's 880 yard Freestyle,
1904,Swimming Men's One Mile Freestyle,
1904,Swimming Men's Plunge For Distance,
1904,Tennis Men's Doubles,86.0
1904,Tennis Men's Singles,86.0
1904,Tug-Of-War Men's Tug-Of-War,84.5
1904,Water Polo Men's Water Polo,66.0
1904,Weightlifting Men's All-Around Dumbbell Contest,90.0
1904,"Weightlifting Men's Unlimited, Two Hands",75.0
1904,"Wrestling Men's Bantamweight, Freestyle",
1904,"Wrestling Men's Featherweight, Freestyle",
1904,"Wrestling Men's Flyweight, Freestyle",54.0
1904,"Wrestling Men's Heavyweight, Freestyle",75.0
1904,"Wrestling Men's Light-Flyweight, Freestyle",
1904,"Wrestling Men's Lightweight, Freestyle",
1904,"Wrestling Men's Welterweight, Freestyle",
1906,"Athletics Men's 1,500 metres",65.71428571428571
1906,"Athletics Men's 1,500 metres Walk",60.0
1906,Athletics Men's 100 metres,70.0909090909091
1906,Athletics Men's 110 metres Hurdles,75.0
1906,"Athletics Men's 3,000 metres Walk",52.0
1906,Athletics Men's 400 metres,68.8
1906,Athletics Men's 5 mile,63.0
1906,Athletics Men's 800 metres,72.0
1906,Athletics Men's Discus Throw,89.75
1906,"Athletics Men's Discus Throw, Greek Style",90.0
1906,Athletics Men's High Jump,66.5
1906,"Athletics Men's Javelin Throw, Freestyle",81.42857142857143
1906,Athletics Men's Long Jump,74.5
1906,Athletics Men's Marathon,61.45454545454545
1906,Athletics Men's Pentathlon (Ancient),78.45454545454545
1906,Athletics Men's Pole Vault,69.75
1906,Athletics Men's Shot Put,88.66666666666667
1906,Athletics Men's Standing High Jump,79.0
1906,Athletics Men's Standing Long Jump,77.41666666666667
1906,Athletics Men's Stone Throw,87.125
1906,Athletics Men's Triple Jump,75.0
1906,Cycling Men's 20 kilometres,69.0
1906,Cycling Men's 333 metres Time Trial,67.33333333333333
1906,"Cycling Men's 5,000 metres",67.33333333333333
1906,"Cycling Men's Road Race, Individual",
1906,Cycling Men's Sprint,67.33333333333333
1906,"Cycling Men's Tandem Sprint, 2,000 metres",67.0
1906,Diving Men's Platform,76.0
1906,"Fencing Men's Foil, Individual",78.5
1906,"Fencing Men's Sabre, Individual",
1906,"Fencing Men's Sabre, Individual, Three Hits",
1906,"Fencing Men's Sabre, Masters, Individual",
1906,"Fencing Men's Sabre, Team",
1906,"Fencing Men's epee, Individual",80.0
1906,"Fencing Men's epee, Masters, Individual",
1906,"Fencing Men's epee, Team",79.0
1906,Football Men's Football,
1906,Gymnastics Men's Individual All-Around,82.0
1906,"Gymnastics Men's Individual All-Around, 5 Events",82.0
1906,Gymnastics Men's Rope Climbing,
1906,Gymnastics Men's Team All-Around,70.5
1906,Rowing Men's 17-Man Naval Rowing Boats,
1906,Rowing Men's 6-Man Naval Rowing Boats,
1906,Rowing Men's Coxed Fours,
1906,Rowing Men's Coxed Pairs (1 kilometres),79.0
1906,Rowing Men's Coxed Pairs (1 mile),79.0
1906,Rowing Men's Single Sculls,
1906,"Shooting Men's Dueling Pistol Au Commandement, 25 metres",
1906,Shooting Men's Dueling Pistol Au Vise 20 metres,
1906,"Shooting Men's Free Pistol, 25 metres",
1906,"Shooting Men's Free Pistol, 50 metres",
1906,"Shooting Men's Free Rifle, Any Position, 300 metres",
1906,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",
1906,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",
1906,"Shooting Men's Military Revolver, 20 metres",
1906,"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",
1906,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",
1906,"Shooting Men's Trap, Double Shot, 14 metres",
1906,"Shooting Men's Trap, Single Shot, 16 metres",
1906,Swimming Men's 100 metres Freestyle,76.25
1906,Swimming Men's 4 x 250 metres Freestyle Relay,74.75
1906,Swimming Men's 400 metres Freestyle,76.0
1906,Swimming Men's One Mile Freestyle,74.0
1906,Tennis Men's Doubles,
1906,Tennis Men's Singles,
1906,Tennis Mixed Doubles,
1906,Tennis Women's Singles,
1906,Tug-Of-War Men's Tug-Of-War,86.28571428571429
1906,"Weightlifting Men's Unlimited, One Hand",93.75
1906,"Weightlifting Men's Unlimited, Two Hands",93.75
1906,"Wrestling Men's All-Around, Greco-Roman",87.5
1906,"Wrestling Men's Heavyweight, Greco-Roman",95.0
1906,"Wrestling Men's Lightweight, Greco-Roman",
1906,"Wrestling Men's Middleweight, Greco-Roman",78.75
1908,Archery Men's Continental Style,
1908,Archery Men's Double York Round,
1908,Archery Women's Double National Round,
1908,"Athletics Men's 1,500 metres",65.0
1908,"Athletics Men's 1,600 metres Medley Relay",69.58333333333333
1908,Athletics Men's 10 mile Walk,65.66666666666667
1908,Athletics Men's 100 metres,69.36842105263158
1908,Athletics Men's 110 metres Hurdles,73.5
1908,Athletics Men's 200 metres,70.73333333333333
1908,"Athletics Men's 3 mile, Team",62.833333333333336
1908,"Athletics Men's 3,200 metres Steeplechase",63.22222222222222
1908,"Athletics Men's 3,500 metres Walk",68.2
1908,Athletics Men's 400 metres,69.0
1908,Athletics Men's 400 metres Hurdles,71.5
1908,Athletics Men's 5 mile,61.69230769230769
1908,Athletics Men's 800 metres,66.23076923076923
1908,Athletics Men's Discus Throw,87.72727272727273
1908,"Athletics Men's Discus Throw, Greek Style",87.07692307692308
1908,Athletics Men's Hammer Throw,96.88888888888889
1908,Athletics Men's High Jump,76.0
1908,Athletics Men's Javelin Throw,80.66666666666667
1908,"Athletics Men's Javelin Throw, Freestyle",83.35714285714286
1908,Athletics Men's Long Jump,70.61538461538461
1908,Athletics Men's Marathon,62.07142857142857
1908,Athletics Men's Pole Vault,70.85714285714286
1908,Athletics Men's Shot Put,92.6875
1908,Athletics Men's Standing High Jump,75.5
1908,Athletics Men's Standing Long Jump,72.57142857142857
1908,Athletics Men's Triple Jump,73.83333333333333
1908,Boxing Men's Bantamweight,
1908,Boxing Men's Featherweight,
1908,Boxing Men's Heavyweight,93.0
1908,Boxing Men's Lightweight,63.0
1908,Boxing Men's Middleweight,
1908,Cycling Men's 100 kilometres,
1908,Cycling Men's 20 kilometres,71.0
1908,"Cycling Men's 5,000 metres",73.5
1908,Cycling Men's Sprint,72.2
1908,"Cycling Men's Tandem Sprint, 2,000 metres",73.33333333333333
1908,"Cycling Men's Team Pursuit, 1,980 yards",73.5
1908,Diving Men's Platform,76.0
1908,Diving Men's Springboard,
1908,"Fencing Men's Sabre, Individual",
1908,"Fencing Men's Sabre, Team",
1908,"Fencing Men's epee, Individual",80.0
1908,"Fencing Men's epee, Team",80.0
1908,Figure Skating Men's Singles,
1908,Figure Skating Men's Special Figures,
1908,Figure Skating Mixed Pairs,
1908,Figure Skating Women's Singles,
1908,Football Men's Football,99.0
1908,Gymnastics Men's Individual All-Around,60.0
1908,Gymnastics Men's Team All-Around,73.25
1908,Hockey Men's Hockey,89.0
1908,Jeu De Paume Men's Singles,
1908,Lacrosse Men's Lacrosse,
1908,Motorboating Mixed A-Class (Open),77.0
1908,Motorboating Mixed B-Class (Under 60 Feet),
1908,Motorboating Mixed C-Class,
1908,Polo Men's Polo,
1908,Racquets Men's Doubles,
1908,Racquets Men's Singles,
1908,Rowing Men's Coxed Eights,73.51851851851852
1908,Rowing Men's Coxless Fours,77.8125
1908,Rowing Men's Coxless Pairs,73.625
1908,Rowing Men's Single Sculls,71.44444444444444
1908,Rugby Men's Rugby,
1908,Sailing Mixed 12 metres,
1908,Sailing Mixed 6 metres,
1908,Sailing Mixed 7 metres,
1908,Sailing Mixed 8 metres,
1908,"Shooting Men's Free Pistol, 50 yards",
1908,"Shooting Men's Free Pistol, 50 yards, Team",
1908,"Shooting Men's Free Rifle, 1,000 Yards",
1908,"Shooting Men's Free Rifle, Three Positions, 300 metres",
1908,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",
1908,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",
1908,"Shooting Men's Running Target, Double Shot",
1908,"Shooting Men's Running Target, Single Shot",
1908,"Shooting Men's Running Target, Single Shot, Team",
1908,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",
1908,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",
1908,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",
1908,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",
1908,Shooting Men's Trap,
1908,"Shooting Men's Trap, Team",
1908,"Swimming Men's 1,500 metres Freestyle",71.75
1908,Swimming Men's 100 metres Backstroke,80.0
1908,Swimming Men's 100 metres Freestyle,73.5
1908,Swimming Men's 200 metres Breaststroke,74.33333333333333
1908,Swimming Men's 4 x 200 metres Freestyle Relay,73.33333333333333
1908,Swimming Men's 400 metres Freestyle,69.0
1908,Tennis Men's Doubles,
1908,"Tennis Men's Doubles, Covered Courts",
1908,Tennis Men's Singles,
1908,"Tennis Men's Singles, Covered Courts",
1908,Tennis Women's Singles,
1908,"Tennis Women's Singles, Covered Courts",
1908,Tug-Of-War Men's Tug-Of-War,98.0
1908,Water Polo Men's Water Polo,84.66666666666667
1908,"Wrestling Men's Bantamweight, Freestyle",53.0
1908,"Wrestling Men's Featherweight, Freestyle",60.0
1908,"Wrestling Men's Heavyweight, Freestyle",96.8
1908,"Wrestling Men's Heavyweight, Greco-Roman",94.0
1908,"Wrestling Men's Light-Heavyweight, Greco-Roman",85.5
1908,"Wrestling Men's Lightweight, Freestyle",66.0
1908,"Wrestling Men's Lightweight, Greco-Roman",65.5
1908,"Wrestling Men's Middleweight, Freestyle",67.0
1908,"Wrestling Men's Middleweight, Greco-Roman",70.5
1912,Art Competitions Mixed Architecture,
1912,Art Competitions Mixed Literature,
1912,Art Competitions Mixed Music,
1912,Art Competitions Mixed Painting,
1912,Art Competitions Mixed Sculpturing,
1912,"Athletics Men's 1,500 metres",64.17391304347827
1912,Athletics Men's 10 kilometres Walk,65.625
1912,"Athletics Men's 10,000 metres",59.642857142857146
1912,Athletics Men's 100 metres,69.2
1912,Athletics Men's 110 metres Hurdles,74.38461538461539
1912,Athletics Men's 200 metres,67.6
1912,"Athletics Men's 3,000 metres, Team",62.03333333333333
1912,Athletics Men's 4 x 100 metres Relay,70.36842105263158
1912,Athletics Men's 4 x 400 metres Relay,70.08333333333333
1912,Athletics Men's 400 metres,70.5
1912,"Athletics Men's 5,000 metres",62.96153846153846
1912,Athletics Men's 800 metres,69.5909090909091
1912,"Athletics Men's Cross-Country, Individual",62.982142857142854
1912,"Athletics Men's Cross-Country, Team",62.62
1912,Athletics Men's Decathlon,79.78947368421052
1912,Athletics Men's Discus Throw,90.275
1912,"Athletics Men's Discus Throw, Both Hands",90.1923076923077
1912,Athletics Men's Hammer Throw,102.0
1912,Athletics Men's High Jump,74.89473684210526
1912,Athletics Men's Javelin Throw,79.6923076923077
1912,"Athletics Men's Javelin Throw, Both Hands",79.66666666666667
1912,Athletics Men's Long Jump,72.71428571428571
1912,Athletics Men's Marathon,63.01851851851852
1912,Athletics Men's Pentathlon,80.05555555555556
1912,Athletics Men's Pole Vault,68.4
1912,Athletics Men's Shot Put,92.75
1912,"Athletics Men's Shot Put, Both Hands",92.5
1912,Athletics Men's Standing High Jump,78.0
1912,Athletics Men's Standing Long Jump,77.4
1912,Athletics Men's Triple Jump,75.3076923076923
1912,"Cycling Men's Road Race, Individual",76.0
1912,"Cycling Men's Road Race, Team",76.0
1912,Diving Men's Plain High,76.0
1912,Diving Men's Platform,76.0
1912,Diving Men's Springboard,
1912,Diving Women's Plain High,
1912,"Equestrianism Men's Dressage, Individual",
1912,"Equestrianism Men's Jumping, Individual",63.0
1912,"Equestrianism Men's Jumping, Team",
1912,"Equestrianism Men's Three-Day Event, Individual",
1912,"Equestrianism Men's Three-Day Event, Team",
1912,"Fencing Men's Foil, Individual",81.0
1912,"Fencing Men's Sabre, Individual",
1912,"Fencing Men's Sabre, Team",82.0
1912,"Fencing Men's epee, Individual",81.0
1912,"Fencing Men's epee, Team",80.0
1912,Football Men's Football,72.6
1912,Gymnastics Men's Individual All-Around,
1912,Gymnastics Men's Team All-Around,
1912,"Gymnastics Men's Team All-Around, Free System",
1912,"Gymnastics Men's Team All-Around, Swedish System",73.0
1912,Modern Pentathlon Men's Individual,
1912,Rowing Men's Coxed Eights,75.05263157894737
1912,"Rowing Men's Coxed Fours, Inriggers",82.0
1912,"Rowing Men's Coxed Fours, Outriggers",67.9090909090909
1912,Rowing Men's Single Sculls,73.16666666666667
1912,Sailing Mixed 10 metres,
1912,Sailing Mixed 12 metres,
1912,Sailing Mixed 6 metres,
1912,Sailing Mixed 8 metres,82.0
1912,"Shooting Men's Dueling Pistol, 30 metres",
1912,"Shooting Men's Dueling Pistol, 30 metres, Team",
1912,"Shooting Men's Free Pistol, 50 metres",
1912,"Shooting Men's Free Pistol, 50 metres, Team",
1912,"Shooting Men's Free Rifle, Three Positions, 300 metres",
1912,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",109.0
1912,"Shooting Men's Military Rifle, Any Position, 600 metres",109.0
1912,"Shooting Men's Military Rifle, Three Positions, 300 metres",
1912,"Shooting Men's Running Target, Double Shot",
1912,"Shooting Men's Running Target, Single Shot",
1912,"Shooting Men's Running Target, Single Shot, Team",
1912,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",
1912,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",
1912,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",
1912,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",
1912,Shooting Men's Trap,
1912,"Shooting Men's Trap, Team",
1912,"Swimming Men's 1,500 metres Freestyle",66.0
1912,Swimming Men's 100 metres Backstroke,
1912,Swimming Men's 100 metres Freestyle,76.0
1912,Swimming Men's 200 metres Breaststroke,
1912,Swimming Men's 4 x 200 metres Freestyle Relay,66.0
1912,Swimming Men's 400 metres Breaststroke,
1912,Swimming Men's 400 metres Freestyle,66.0
1912,Swimming Women's 100 metres Freestyle,
1912,Swimming Women's 4 x 100 metres Freestyle Relay,
1912,Tennis Men's Doubles,
1912,"Tennis Men's Doubles, Covered Courts",
1912,Tennis Men's Singles,85.0
1912,"Tennis Men's Singles, Covered Courts",84.0
1912,Tennis Mixed Doubles,
1912,"Tennis Mixed Doubles, Covered Courts",
1912,Tennis Women's Singles,
1912,"Tennis Women's Singles, Covered Courts",
1912,Tug-Of-War Men's Tug-Of-War,101.33333333333333
1912,Water Polo Men's Water Polo,89.75
1912,"Wrestling Men's Featherweight, Greco-Roman",70.4
1912,"Wrestling Men's Heavyweight, Greco-Roman",104.8
1912,"Wrestling Men's Lightweight, Greco-Roman",74.0
1912,"Wrestling Men's Middleweight A, Greco-Roman",72.375
1912,"Wrestling Men's Middleweight B, Greco-Roman",92.0
1920,"Archery Men's Pole Archery, Large Birds, Individual",
1920,"Archery Men's Pole Archery, Large Birds, Team",
1920,"Archery Men's Pole Archery, Small Birds, Individual",
1920,"Archery Men's Pole Archery, Small Birds, Team",
1920,"Archery Men's Target Archery, 28 metres, Individual",
1920,"Archery Men's Target Archery, 28 metres, Team",
1920,"Archery Men's Target Archery, 33 metres, Individual",
1920,"Archery Men's Target Archery, 33 metres, Team",
1920,"Archery Men's Target Archery, 50 metres, Individual",
1920,"Archery Men's Target Archery, 50 metres, Team",
1920,Art Competitions Mixed Architecture,
1920,Art Competitions Mixed Literature,
1920,Art Competitions Mixed Music,
1920,Art Competitions Mixed Painting,
1920,Art Competitions Mixed Sculpturing,
1920,"Athletics Men's 1,500 metres",65.3
1920,Athletics Men's 10 kilometres Walk,70.16666666666667
1920,"Athletics Men's 10,000 metres",62.42857142857143
1920,Athletics Men's 100 metres,71.07692307692308
1920,Athletics Men's 110 metres Hurdles,75.66666666666667
1920,Athletics Men's 200 metres,73.08333333333333
1920,"Athletics Men's 3,000 metres Steeplechase",61.714285714285715
1920,"Athletics Men's 3,000 metres Walk",69.33333333333333
1920,"Athletics Men's 3,000 metres, Team",65.27272727272727
1920,Athletics Men's 4 x 100 metres Relay,71.14285714285714
1920,Athletics Men's 4 x 400 metres Relay,69.55555555555556
1920,Athletics Men's 400 metres,71.23076923076923
