Year,Event,AverageWeight
1952,Athletics Men's 800 metres,68.84848484848484
1952,Athletics Men's Decathlon,80.27777777777777
1952,Athletics Men's Discus Throw,97.38095238095238
1952,Athletics Men's Hammer Throw,93.33333333333333
1952,Athletics Men's High Jump,77.5
1952,Athletics Men's Javelin Throw,83.84210526315789
1952,Athletics Men's Long Jump,71.6
1952,Athletics Men's Marathon,59.24
1952,Athletics Men's Pole Vault,74.57894736842105
1952,Athletics Men's Shot Put,98.26666666666667
1952,Athletics Men's Triple Jump,71.82352941176471
1952,Athletics Women's 100 metres,58.26923076923077
1952,Athletics Women's 200 metres,58.22727272727273
1952,Athletics Women's 4 x 100 metres Relay,58.351351351351354
1952,Athletics Women's 80 metres Hurdles,59.125
1952,Athletics Women's Discus Throw,72.91666666666667
1952,Athletics Women's High Jump,61.8
1952,Athletics Women's Javelin Throw,67.38461538461539
1952,Athletics Women's Long Jump,58.388888888888886
1952,Athletics Women's Shot Put,75.57142857142857
1952,Basketball Men's Basketball,84.58695652173913
1952,Boxing Men's Bantamweight,56.166666666666664
1952,Boxing Men's Featherweight,61.0
1952,Boxing Men's Flyweight,53.666666666666664
1952,Boxing Men's Heavyweight,88.0
1952,Boxing Men's Light-Heavyweight,79.83333333333333
1952,Boxing Men's Light-Middleweight,72.5
1952,Boxing Men's Light-Welterweight,66.5
1952,Boxing Men's Lightweight,
1952,Boxing Men's Middleweight,75.4
1952,Boxing Men's Welterweight,66.0
1952,"Canoeing Men's Canadian Doubles, 1,000 metres",66.2
1952,"Canoeing Men's Canadian Doubles, 10,000 metres",70.25
1952,"Canoeing Men's Canadian Singles, 1,000 metres",79.5
1952,"Canoeing Men's Canadian Singles, 10,000 metres",81.33333333333333
1952,"Canoeing Men's Kayak Doubles, 1,000 metres",73.25
1952,"Canoeing Men's Kayak Doubles, 10,000 metres",73.5
1952,"Canoeing Men's Kayak Singles, 1,000 metres",75.0
1952,"Canoeing Men's Kayak Singles, 10,000 metres",70.25
1952,"Canoeing Women's Kayak Singles, 500 metres",62.75
1952,"Cycling Men's 1,000 metres Time Trial",73.33333333333333
1952,"Cycling Men's Road Race, Individual",72.27777777777777
1952,"Cycling Men's Road Race, Team",72.27777777777777
1952,Cycling Men's Sprint,68.0
1952,"Cycling Men's Tandem Sprint, 2,000 metres",79.0
1952,"Cycling Men's Team Pursuit, 4,000 metres",73.33333333333333
1952,Diving Men's Platform,72.33333333333333
1952,Diving Men's Springboard,67.5
1952,Diving Women's Platform,52.833333333333336
1952,Diving Women's Springboard,54.0
1952,"Equestrianism Men's Jumping, Individual",68.42857142857143
1952,"Equestrianism Men's Jumping, Team",67.83333333333333
1952,"Equestrianism Men's Three-Day Event, Individual",69.85714285714286
1952,"Equestrianism Men's Three-Day Event, Team",69.85714285714286
1952,"Equestrianism Mixed Dressage, Individual",70.2
1952,"Equestrianism Mixed Dressage, Team",70.2
1952,"Fencing Men's Foil, Individual",76.0
1952,"Fencing Men's Foil, Team",77.22222222222223
1952,"Fencing Men's Sabre, Individual",73.73333333333333
1952,"Fencing Men's Sabre, Team",74.5
1952,"Fencing Men's epee, Individual",76.59375
1952,"Fencing Men's epee, Team",75.23809523809524
1952,"Fencing Women's Foil, Individual",61.55
1952,Football Men's Football,72.23958333333333
1952,Gymnastics Men's Floor Exercise,64.9090909090909
1952,Gymnastics Men's Horizontal Bar,64.9090909090909
1952,Gymnastics Men's Horse Vault,64.9090909090909
1952,Gymnastics Men's Individual All-Around,64.9090909090909
1952,Gymnastics Men's Parallel Bars,64.9090909090909
1952,Gymnastics Men's Pommelled Horse,64.9090909090909
1952,Gymnastics Men's Rings,64.9090909090909
1952,Gymnastics Men's Team All-Around,65.0
1952,Gymnastics Women's Balance Beam,54.75925925925926
1952,Gymnastics Women's Floor Exercise,54.75925925925926
1952,Gymnastics Women's Horse Vault,54.75925925925926
1952,Gymnastics Women's Individual All-Around,54.75925925925926
1952,Gymnastics Women's Team All-Around,54.3
1952,Gymnastics Women's Team Portable Apparatus,54.3
1952,Gymnastics Women's Uneven Bars,54.75925925925926
1952,Hockey Men's Hockey,72.78125
1952,Modern Pentathlon Men's Individual,68.94444444444444
1952,Modern Pentathlon Men's Team,68.94444444444444
1952,Rowing Men's Coxed Eights,76.2
1952,Rowing Men's Coxed Fours,84.35
1952,Rowing Men's Coxed Pairs,76.9
1952,Rowing Men's Coxless Fours,80.88888888888889
1952,Rowing Men's Coxless Pairs,79.57142857142857
1952,Rowing Men's Double Sculls,77.0
1952,Rowing Men's Single Sculls,80.0
1952,Sailing Mixed 5.5 metres,80.22222222222223
1952,Sailing Mixed 6 metres,74.42857142857143
1952,Sailing Mixed One Person Dinghy,86.125
1952,Sailing Mixed Three Person Keelboat,75.41666666666667
1952,Sailing Mixed Two Person Keelboat,79.63636363636364
1952,"Shooting Men's Free Pistol, 50 metres",78.375
1952,"Shooting Men's Free Rifle, Three Positions, 300 metres",73.25
1952,"Shooting Men's Rapid-Fire Pistol, 25 metres",83.0
1952,"Shooting Men's Running Target, Single And Double Shot",
1952,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",70.82352941176471
1952,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",73.53846153846153
1952,Shooting Men's Trap,90.77777777777777
1952,"Swimming Men's 1,500 metres Freestyle",75.14285714285714
1952,Swimming Men's 100 metres Backstroke,75.25
1952,Swimming Men's 100 metres Freestyle,81.28571428571429
1952,Swimming Men's 200 metres Breaststroke,78.0
1952,Swimming Men's 4 x 200 metres Freestyle Relay,80.38461538461539
1952,Swimming Men's 400 metres Freestyle,78.0
1952,Swimming Women's 100 metres Backstroke,58.333333333333336
1952,Swimming Women's 100 metres Freestyle,59.5
1952,Swimming Women's 200 metres Breaststroke,59.0
1952,Swimming Women's 4 x 100 metres Freestyle Relay,59.0
1952,Swimming Women's 400 metres Freestyle,64.0
1952,Water Polo Men's Water Polo,84.05
1952,Weightlifting Men's Bantamweight,56.25
1952,Weightlifting Men's Featherweight,59.785714285714285
1952,Weightlifting Men's Heavyweight,116.26923076923077
1952,Weightlifting Men's Light-Heavyweight,81.32608695652173
1952,Weightlifting Men's Lightweight,67.19565217391305
1952,Weightlifting Men's Middle-Heavyweight,90.15
1952,Weightlifting Men's Middleweight,74.57142857142857
1952,"Wrestling Men's Bantamweight, Freestyle",57.875
1952,"Wrestling Men's Bantamweight, Greco-Roman",57.0
1952,"Wrestling Men's Featherweight, Freestyle",64.66666666666667
1952,"Wrestling Men's Featherweight, Greco-Roman",64.5
1952,"Wrestling Men's Flyweight, Freestyle",52.0
1952,"Wrestling Men's Flyweight, Greco-Roman",54.083333333333336
1952,"Wrestling Men's Heavyweight, Freestyle",112.33333333333333
1952,"Wrestling Men's Heavyweight, Greco-Roman",102.5
1952,"Wrestling Men's Light-Heavyweight, Freestyle",87.66666666666667
1952,"Wrestling Men's Light-Heavyweight, Greco-Roman",
1952,"Wrestling Men's Lightweight, Freestyle",67.0
1952,"Wrestling Men's Lightweight, Greco-Roman",70.0
1952,"Wrestling Men's Middleweight, Freestyle",84.5
1952,"Wrestling Men's Middleweight, Greco-Roman",82.5
1952,"Wrestling Men's Welterweight, Freestyle",
1952,"Wrestling Men's Welterweight, Greco-Roman",74.0
1956,"Athletics Men's 1,500 metres",65.90322580645162
1956,"Athletics Men's 10,000 metres",60.976190476190474
1956,Athletics Men's 100 metres,69.73333333333333
1956,Athletics Men's 110 metres Hurdles,75.11764705882354
1956,Athletics Men's 20 kilometres Walk,69.0
1956,Athletics Men's 200 metres,70.8157894736842
1956,"Athletics Men's 3,000 metres Steeplechase",66.1875
1956,Athletics Men's 4 x 100 metres Relay,68.72972972972973
1956,Athletics Men's 4 x 400 metres Relay,70.58888888888889
1956,Athletics Men's 400 metres,70.24137931034483
1956,Athletics Men's 400 metres Hurdles,71.26470588235294
1956,"Athletics Men's 5,000 metres",62.88095238095238
1956,Athletics Men's 50 kilometres Walk,70.33333333333333
1956,Athletics Men's 800 metres,67.16666666666667
1956,Athletics Men's Decathlon,84.1
1956,Athletics Men's Discus Throw,98.83333333333333
1956,Athletics Men's Hammer Throw,96.84615384615384
1956,Athletics Men's High Jump,76.0
1956,Athletics Men's Javelin Throw,85.875
1956,Athletics Men's Long Jump,70.27777777777777
1956,Athletics Men's Marathon,59.48148148148148
1956,Athletics Men's Pole Vault,74.4
1956,Athletics Men's Shot Put,109.0909090909091
1956,Athletics Men's Triple Jump,72.88888888888889
1956,Athletics Women's 100 metres,57.31818181818182
1956,Athletics Women's 200 metres,58.31578947368421
1956,Athletics Women's 4 x 100 metres Relay,58.8
1956,Athletics Women's 80 metres Hurdles,60.9375
1956,Athletics Women's Discus Throw,76.3529411764706
1956,Athletics Women's High Jump,61.285714285714285
1956,Athletics Women's Javelin Throw,66.53846153846153
1956,Athletics Women's Long Jump,57.0
1956,Athletics Women's Shot Put,82.46153846153847
1956,Basketball Men's Basketball,86.0
1956,Boxing Men's Bantamweight,54.666666666666664
1956,Boxing Men's Featherweight,57.25
1956,Boxing Men's Flyweight,53.5
1956,Boxing Men's Heavyweight,99.6
1956,Boxing Men's Light-Heavyweight,79.0
1956,Boxing Men's Light-Middleweight,76.0
1956,Boxing Men's Light-Welterweight,64.83333333333333
1956,Boxing Men's Lightweight,60.0
1956,Boxing Men's Middleweight,76.25
1956,Boxing Men's Welterweight,72.0
1956,"Canoeing Men's Canadian Doubles, 1,000 metres",72.66666666666667
1956,"Canoeing Men's Canadian Doubles, 10,000 metres",67.2
1956,"Canoeing Men's Canadian Singles, 1,000 metres",78.0
1956,"Canoeing Men's Canadian Singles, 10,000 metres",81.25
1956,"Canoeing Men's Kayak Doubles, 1,000 metres",74.33333333333333
1956,"Canoeing Men's Kayak Doubles, 10,000 metres",74.45454545454545
1956,"Canoeing Men's Kayak Singles, 1,000 metres",74.5
1956,"Canoeing Men's Kayak Singles, 10,000 metres",76.25
1956,"Canoeing Women's Kayak Singles, 500 metres",61.8
1956,"Cycling Men's 1,000 metres Time Trial",68.83333333333333
1956,"Cycling Men's Road Race, Individual",71.27272727272727
1956,"Cycling Men's Road Race, Team",71.0
1956,Cycling Men's Sprint,75.0
1956,"Cycling Men's Tandem Sprint, 2,000 metres",72.14285714285714
1956,"Cycling Men's Team Pursuit, 4,000 metres",69.46666666666667
1956,Diving Men's Platform,66.42857142857143
1956,Diving Men's Springboard,64.16666666666667
1956,Diving Women's Platform,51.666666666666664
1956,Diving Women's Springboard,52.8
1956,"Equestrianism Men's Three-Day Event, Individual",70.0
1956,"Equestrianism Men's Three-Day Event, Team",70.0
1956,"Equestrianism Mixed Dressage, Individual",70.44444444444444
1956,"Equestrianism Mixed Dressage, Team",73.0
1956,"Equestrianism Mixed Jumping, Individual",68.42857142857143
1956,"Equestrianism Mixed Jumping, Team",68.85185185185185
1956,"Fencing Men's Foil, Individual",72.4
1956,"Fencing Men's Foil, Team",74.14285714285714
1956,"Fencing Men's Sabre, Individual",72.69565217391305
1956,"Fencing Men's Sabre, Team",74.8
1956,"Fencing Men's epee, Individual",73.45238095238095
1956,"Fencing Men's epee, Team",74.58620689655173
1956,"Fencing Women's Foil, Individual",61.6
1956,Football Men's Football,70.81818181818181
1956,Gymnastics Men's Floor Exercise,66.22222222222223
1956,Gymnastics Men's Horizontal Bar,66.22222222222223
1956,Gymnastics Men's Horse Vault,66.22222222222223
1956,Gymnastics Men's Individual All-Around,66.22222222222223
1956,Gymnastics Men's Parallel Bars,66.22222222222223
1956,Gymnastics Men's Pommelled Horse,66.22222222222223
1956,Gymnastics Men's Rings,66.22222222222223
1956,Gymnastics Men's Team All-Around,66.0
1956,Gymnastics Women's Balance Beam,54.81818181818182
1956,Gymnastics Women's Floor Exercise,54.81818181818182
1956,Gymnastics Women's Horse Vault,54.81818181818182
1956,Gymnastics Women's Individual All-Around,54.794117647058826
1956,Gymnastics Women's Team All-Around,54.758620689655174
1956,Gymnastics Women's Team Portable Apparatus,54.758620689655174
1956,Gymnastics Women's Uneven Bars,54.794117647058826
1956,Hockey Men's Hockey,72.625
1956,Modern Pentathlon Men's Individual,71.93333333333334
1956,Modern Pentathlon Men's Team,71.76923076923077
1956,Rowing Men's Coxed Eights,83.21739130434783
1956,Rowing Men's Coxed Fours,77.71875
1956,Rowing Men's Coxed Pairs,80.57142857142857
1956,Rowing Men's Coxless Fours,81.525
1956,Rowing Men's Coxless Pairs,81.75
1956,Rowing Men's Double Sculls,80.16666666666667
1956,Rowing Men's Single Sculls,82.6
1956,Sailing Mixed 5.5 metres,79.66666666666667
1956,Sailing Mixed One Person Dinghy,84.55555555555556
1956,Sailing Mixed Three Person Keelboat,79.47058823529412
1956,Sailing Mixed Two Person Heavyweight Dinghy,76.11111111111111
1956,Sailing Mixed Two Person Keelboat,83.0
1956,"Shooting Men's Free Pistol, 50 metres",76.36363636363636
1956,"Shooting Men's Free Rifle, Three Positions, 300 metres",74.0
1956,"Shooting Men's Rapid-Fire Pistol, 25 metres",78.3076923076923
1956,"Shooting Men's Running Target, Single And Double Shot",
1956,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",73.32142857142857
1956,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",73.24
1956,Shooting Men's Trap,84.33333333333333
1956,"Swimming Men's 1,500 metres Freestyle",74.25
1956,Swimming Men's 100 metres Backstroke,75.72727272727273
1956,Swimming Men's 100 metres Freestyle,80.66666666666667
1956,Swimming Men's 200 metres Breaststroke,84.75
1956,Swimming Men's 200 metres Butterfly,72.0
1956,Swimming Men's 4 x 200 metres Freestyle Relay,79.23809523809524
1956,Swimming Men's 400 metres Freestyle,79.18181818181819
1956,Swimming Women's 100 metres Backstroke,62.142857142857146
1956,Swimming Women's 100 metres Butterfly,57.25
1956,Swimming Women's 100 metres Freestyle,58.625
1956,Swimming Women's 200 metres Breaststroke,60.6
1956,Swimming Women's 4 x 100 metres Freestyle Relay,59.57142857142857
1956,Swimming Women's 400 metres Freestyle,61.0
1956,Water Polo Men's Water Polo,83.58974358974359
1956,Weightlifting Men's Bantamweight,56.25
1956,Weightlifting Men's Featherweight,59.65
1956,Weightlifting Men's Heavyweight,119.72222222222223
1956,Weightlifting Men's Light-Heavyweight,79.85
1956,Weightlifting Men's Lightweight,67.02941176470588
1956,Weightlifting Men's Middle-Heavyweight,88.86666666666666
1956,Weightlifting Men's Middleweight,74.03333333333333
1956,"Wrestling Men's Bantamweight, Freestyle",59.07142857142857
1956,"Wrestling Men's Bantamweight, Greco-Roman",59.875
1956,"Wrestling Men's Featherweight, Freestyle",62.75
1956,"Wrestling Men's Featherweight, Greco-Roman",63.5
1956,"Wrestling Men's Flyweight, Freestyle",55.6
1956,"Wrestling Men's Flyweight, Greco-Roman",52.0
1956,"Wrestling Men's Heavyweight, Freestyle",113.0
1956,"Wrestling Men's Heavyweight, Greco-Roman",105.66666666666667
1956,"Wrestling Men's Light-Heavyweight, Freestyle",97.4
1956,"Wrestling Men's Light-Heavyweight, Greco-Roman",85.66666666666667
1956,"Wrestling Men's Lightweight, Freestyle",68.375
1956,"Wrestling Men's Lightweight, Greco-Roman",68.07142857142857
1956,"Wrestling Men's Middleweight, Freestyle",82.3
1956,"Wrestling Men's Middleweight, Greco-Roman",84.35714285714286
1956,"Wrestling Men's Welterweight, Freestyle",74.75
1956,"Wrestling Men's Welterweight, Greco-Roman",75.83333333333333
1960,"Athletics Men's 1,500 metres",66.05128205128206
1960,"Athletics Men's 10,000 metres",62.125
1960,Athletics Men's 100 metres,70.1864406779661
1960,Athletics Men's 110 metres Hurdles,76.22222222222223
1960,Athletics Men's 20 kilometres Walk,67.66666666666667
1960,Athletics Men's 200 metres,70.47540983606558
1960,"Athletics Men's 3,000 metres Steeplechase",64.71875
1960,Athletics Men's 4 x 100 metres Relay,68.79220779220779
1960,Athletics Men's 4 x 400 metres Relay,70.36842105263158
1960,Athletics Men's 400 metres,69.85185185185185
1960,Athletics Men's 400 metres Hurdles,69.91176470588235
1960,"Athletics Men's 5,000 metres",62.148936170212764
1960,Athletics Men's 50 kilometres Walk,68.38461538461539
1960,Athletics Men's 800 metres,67.64
1960,Athletics Men's Decathlon,81.86666666666666
1960,Athletics Men's Discus Throw,101.55714285714286
1960,Athletics Men's Hammer Throw,96.67857142857143
1960,Athletics Men's High Jump,77.125
1960,Athletics Men's Javelin Throw,85.75
1960,Athletics Men's Long Jump,72.1875
1960,Athletics Men's Marathon,59.95652173913044
1960,Athletics Men's Pole Vault,74.62068965517241
1960,Athletics Men's Shot Put,108.0
1960,Athletics Men's Triple Jump,72.56410256410257
1960,Athletics Women's 100 metres,58.903225806451616
1960,Athletics Women's 200 metres,58.51724137931034
1960,Athletics Women's 4 x 100 metres Relay,58.425
1960,Athletics Women's 80 metres Hurdles,61.285714285714285
1960,Athletics Women's 800 metres,56.074074074074076
1960,Athletics Women's Discus Throw,77.70833333333333
1960,Athletics Women's High Jump,62.73913043478261
1960,Athletics Women's Javelin Throw,66.6
1960,Athletics Women's Long Jump,58.43333333333333
1960,Athletics Women's Shot Put,79.16666666666667
1960,Basketball Men's Basketball,84.0372340425532
1960,Boxing Men's Bantamweight,53.96774193548387
1960,Boxing Men's Featherweight,57.67741935483871
1960,Boxing Men's Flyweight,50.96774193548387
1960,Boxing Men's Heavyweight,92.29411764705883
1960,Boxing Men's Light-Heavyweight,80.8157894736842
1960,Boxing Men's Light-Middleweight,70.86363636363636
1960,Boxing Men's Light-Welterweight,63.35294117647059
1960,Boxing Men's Lightweight,59.65625
1960,Boxing Men's Middleweight,74.29166666666667
1960,Boxing Men's Welterweight,66.95454545454545
1960,"Canoeing Men's Canadian Doubles, 1,000 metres",72.04545454545455
1960,"Canoeing Men's Canadian Singles, 1,000 metres",77.61538461538461
1960,"Canoeing Men's Kayak Doubles, 1,000 metres",75.23913043478261
1960,Canoeing Men's Kayak Relay 4 x 500 metres,75.1917808219178
1960,"Canoeing Men's Kayak Singles, 1,000 metres",76.04545454545455
1960,"Canoeing Women's Kayak Doubles, 500 metres",63.04545454545455
1960,"Canoeing Women's Kayak Singles, 500 metres",62.53846153846154
1960,"Cycling Men's 1,000 metres Time Trial",70.65217391304348
1960,Cycling Men's 100 kilometres Team Time Trial,69.27777777777777
1960,"Cycling Men's Road Race, Individual",68.69014084507042
1960,Cycling Men's Sprint,71.65517241379311
1960,"Cycling Men's Tandem Sprint, 2,000 metres",70.375
1960,"Cycling Men's Team Pursuit, 4,000 metres",71.25333333333333
1960,Diving Men's Platform,65.42307692307692
1960,Diving Men's Springboard,66.86206896551724
1960,Diving Women's Platform,53.4375
1960,Diving Women's Springboard,55.0
1960,"Equestrianism Men's Three-Day Event, Individual",69.17142857142858
1960,"Equestrianism Men's Three-Day Event, Team",69.08695652173913
1960,"Equestrianism Mixed Dressage, Individual",66.3125
1960,"Equestrianism Mixed Jumping, Individual",67.05555555555556
1960,"Equestrianism Mixed Jumping, Team",66.93617021276596
1960,"Fencing Men's Foil, Individual",72.0
1960,"Fencing Men's Foil, Team",70.58823529411765
1960,"Fencing Men's Sabre, Individual",72.94029850746269
1960,"Fencing Men's Sabre, Team",73.10666666666667
1960,"Fencing Men's epee, Individual",72.89102564102564
1960,"Fencing Men's epee, Team",73.36868686868686
1960,"Fencing Women's Foil, Individual",59.0
1960,"Fencing Women's Foil, Team",58.72549019607843
1960,Football Men's Football,69.92118226600985
1960,Gymnastics Men's Floor Exercise,65.18636363636364
1960,Gymnastics Men's Horizontal Bar,65.19369369369369
1960,Gymnastics Men's Horse Vault,65.18636363636364
1960,Gymnastics Men's Individual All-Around,65.19369369369369
1960,Gymnastics Men's Parallel Bars,65.19369369369369
1960,Gymnastics Men's Pommelled Horse,65.18636363636364
1960,Gymnastics Men's Rings,65.18636363636364
1960,Gymnastics Men's Team All-Around,65.23267326732673
1960,Gymnastics Women's Balance Beam,53.79059829059829
1960,Gymnastics Women's Floor Exercise,53.79059829059829
1960,Gymnastics Women's Horse Vault,53.79059829059829
1960,Gymnastics Women's Individual All-Around,53.79059829059829
1960,Gymnastics Women's Team All-Around,53.82631578947368
1960,Gymnastics Women's Uneven Bars,53.79059829059829
1960,Hockey Men's Hockey,69.70454545454545
1960,Modern Pentathlon Men's Individual,71.0701754385965
1960,Modern Pentathlon Men's Team,71.0
1960,Rowing Men's Coxed Eights,77.23853211009174
1960,Rowing Men's Coxed Fours,77.08421052631579
1960,Rowing Men's Coxed Pairs,73.26923076923077
1960,Rowing Men's Coxless Fours,81.3125
1960,Rowing Men's Coxless Pairs,80.51470588235294
1960,Rowing Men's Double Sculls,81.33333333333333
1960,Rowing Men's Single Sculls,80.41666666666667
1960,Sailing Mixed 5.5 metres,77.35714285714286
1960,Sailing Mixed One Person Dinghy,80.09375
1960,Sailing Mixed Three Person Keelboat,72.96103896103897
1960,Sailing Mixed Two Person Heavyweight Dinghy,75.48333333333333
1960,Sailing Mixed Two Person Keelboat,77.88
1960,"Shooting Men's Free Pistol, 50 metres",74.2063492063492
1960,"Shooting Men's Free Rifle, Three Positions, 300 metres",74.2051282051282
1960,"Shooting Men's Rapid-Fire Pistol, 25 metres",73.67272727272727
1960,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",74.69047619047619
1960,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",75.36486486486487
1960,Shooting Men's Trap,81.0
1960,"Swimming Men's 1,500 metres Freestyle",72.6896551724138
1960,Swimming Men's 100 metres Backstroke,71.58823529411765
1960,Swimming Men's 100 metres Freestyle,74.89583333333333
1960,Swimming Men's 200 metres Breaststroke,74.73684210526316
1960,Swimming Men's 200 metres Butterfly,73.27272727272727
1960,Swimming Men's 4 x 100 metres Medley Relay,74.79729729729729
1960,Swimming Men's 4 x 200 metres Freestyle Relay,75.50746268656717
1960,Swimming Men's 400 metres Freestyle,74.84615384615384
1960,Swimming Women's 100 metres Backstroke,61.233333333333334
1960,Swimming Women's 100 metres Butterfly,60.24
1960,Swimming Women's 100 metres Freestyle,60.774193548387096
1960,Swimming Women's 200 metres Breaststroke,62.37931034482759
1960,Swimming Women's 4 x 100 metres Freestyle Relay,61.611111111111114
1960,Swimming Women's 4 x 100 metres Medley Relay,61.25
1960,Swimming Women's 400 metres Freestyle,58.59090909090909
1960,Water Polo Men's Water Polo,82.48091603053435
1960,Weightlifting Men's Bantamweight,56.15909090909091
1960,Weightlifting Men's Featherweight,59.357142857142854
1960,Weightlifting Men's Heavyweight,117.94444444444444
1960,Weightlifting Men's Light-Heavyweight,82.6875
1960,Weightlifting Men's Lightweight,67.203125
1960,Weightlifting Men's Middle-Heavyweight,89.125
1960,Weightlifting Men's Middleweight,74.35185185185185
1960,"Wrestling Men's Bantamweight, Freestyle",57.23684210526316
1960,"Wrestling Men's Bantamweight, Greco-Roman",58.2037037037037
1960,"Wrestling Men's Featherweight, Freestyle",62.25
1960,"Wrestling Men's Featherweight, Greco-Roman",62.5
1960,"Wrestling Men's Flyweight, Freestyle",52.75
1960,"Wrestling Men's Flyweight, Greco-Roman",52.34375
1960,"Wrestling Men's Heavyweight, Freestyle",106.4375
1960,"Wrestling Men's Heavyweight, Greco-Roman",107.45454545454545
1960,"Wrestling Men's Light-Heavyweight, Freestyle",86.72222222222223
1960,"Wrestling Men's Light-Heavyweight, Greco-Roman",86.1470588235294
1960,"Wrestling Men's Lightweight, Freestyle",66.5
1960,"Wrestling Men's Lightweight, Greco-Roman",67.75
1960,"Wrestling Men's Middleweight, Freestyle",80.44736842105263
1960,"Wrestling Men's Middleweight, Greco-Roman",79.60416666666667
1960,"Wrestling Men's Welterweight, Freestyle",72.92857142857143
1960,"Wrestling Men's Welterweight, Greco-Roman",74.0
1964,"Athletics Men's 1,500 metres",67.4186046511628
1964,"Athletics Men's 10,000 metres",62.05263157894737
1964,Athletics Men's 100 metres,70.27397260273973
1964,Athletics Men's 110 metres Hurdles,75.51351351351352
1964,Athletics Men's 20 kilometres Walk,66.1
1964,Athletics Men's 200 metres,69.64912280701755
1964,"Athletics Men's 3,000 metres Steeplechase",63.03448275862069
1964,Athletics Men's 4 x 100 metres Relay,69.98780487804878
1964,Athletics Men's 4 x 400 metres Relay,71.05970149253731
1964,Athletics Men's 400 metres,71.9
1964,Athletics Men's 400 metres Hurdles,72.97435897435898
1964,"Athletics Men's 5,000 metres",63.541666666666664
1964,Athletics Men's 50 kilometres Walk,66.58823529411765
1964,Athletics Men's 800 metres,68.18085106382979
1964,Athletics Men's Decathlon,83.86363636363636
1964,Athletics Men's Discus Throw,104.6896551724138
1964,Athletics Men's Hammer Throw,98.41666666666667
1964,Athletics Men's High Jump,78.22222222222223
1964,Athletics Men's Javelin Throw,85.9
1964,Athletics Men's Long Jump,72.53125
1964,Athletics Men's Marathon,60.43939393939394
1964,Athletics Men's Pole Vault,73.0
1964,Athletics Men's Shot Put,111.86363636363636
1964,Athletics Men's Triple Jump,71.15151515151516
1964,Athletics Women's 100 metres,57.29545454545455
1964,Athletics Women's 200 metres,58.02777777777778
1964,Athletics Women's 4 x 100 metres Relay,56.25
1964,Athletics Women's 400 metres,56.73913043478261
1964,Athletics Women's 80 metres Hurdles,61.148148148148145
1964,Athletics Women's 800 metres,57.69565217391305
1964,Athletics Women's Discus Throw,78.80952380952381
1964,Athletics Women's High Jump,62.34615384615385
1964,Athletics Women's Javelin Throw,66.8125
1964,Athletics Women's Long Jump,58.03225806451613
1964,Athletics Women's Pentathlon,63.25
1964,Athletics Women's Shot Put,83.75
1964,Basketball Men's Basketball,84.54497354497354
1964,Boxing Men's Bantamweight,54.32258064516129
1964,Boxing Men's Featherweight,56.96774193548387
1964,Boxing Men's Flyweight,51.18518518518518
1964,Boxing Men's Heavyweight,88.5
1964,Boxing Men's Light-Heavyweight,80.05882352941177
1964,Boxing Men's Light-Middleweight,69.8913043478261
1964,Boxing Men's Light-Welterweight,63.294117647058826
1964,Boxing Men's Lightweight,60.484375
1964,Boxing Men's Middleweight,75.29411764705883
1964,Boxing Men's Welterweight,66.96551724137932
1964,"Canoeing Men's Canadian Doubles, 1,000 metres",76.25
1964,"Canoeing Men's Canadian Singles, 1,000 metres",75.63636363636364
1964,"Canoeing Men's Kayak Doubles, 1,000 metres",74.60714285714286
1964,"Canoeing Men's Kayak Fours, 1,000 metres",76.26785714285714
1964,"Canoeing Men's Kayak Singles, 1,000 metres",79.86666666666666
1964,"Canoeing Women's Kayak Doubles, 500 metres",63.8
1964,"Canoeing Women's Kayak Singles, 500 metres",62.07692307692308
1964,"Cycling Men's 1,000 metres Time Trial",72.5
1964,Cycling Men's 100 kilometres Team Time Trial,68.072
1964,"Cycling Men's Individual Pursuit, 4,000 metres",70.68181818181819
1964,"Cycling Men's Road Race, Individual",68.66666666666667
1964,Cycling Men's Sprint,73.15789473684211
1964,"Cycling Men's Tandem Sprint, 2,000 metres",73.03846153846153
1964,"Cycling Men's Team Pursuit, 4,000 metres",71.83076923076923
1964,Diving Men's Platform,65.03333333333333
1964,Diving Men's Springboard,67.42592592592592
1964,Diving Women's Platform,55.041666666666664
1964,Diving Women's Springboard,54.80952380952381
1964,"Equestrianism Mixed Dressage, Individual",65.72727272727273
1964,"Equestrianism Mixed Dressage, Team",67.22222222222223
1964,"Equestrianism Mixed Jumping, Individual",67.30434782608695
1964,"Equestrianism Mixed Jumping, Team",67.35714285714286
1964,"Equestrianism Mixed Three-Day Event, Individual",67.22916666666667
1964,"Equestrianism Mixed Three-Day Event, Team",67.22916666666667
1964,"Fencing Men's Foil, Individual",70.84313725490196
1964,"Fencing Men's Foil, Team",70.46575342465754
1964,"Fencing Men's Sabre, Individual",71.58823529411765
1964,"Fencing Men's Sabre, Team",72.11475409836065
1964,"Fencing Men's epee, Individual",73.984375
1964,"Fencing Men's epee, Team",73.02380952380952
