"source","target","value"
1980,1952,0.00143884892086331
1920,1952,0.00372208436724566
1908,1952,0
1900,1952,0
1912,1952,0.00161812297734628
1906,1952,0.0040983606557377
1904,1952,0
1896,1952,0
2004,1960,0.000310655483069276
2008,1960,0.000461325542057512
1992,1960,0.000612995504699632
1996,1960,0.000524292205522545
1932,1960,0.00572246065808298
1936,1960,0.021978021978022
1948,1960,0.097037037037037
1928,1960,0.0047438330170778
1952,1960,0.230437128980032
1960,1960,1
1968,1960,0.170586039567003
1924,1960,0.00182149362477231
1964,1960,0.533361309274024
2012,1960,0
1984,1960,0.00324207492795389
1988,1960,0.00266537436394475
2016,1960,0
2000,1960,0
1972,1960,0.0519522426589222
1976,1960,0.0172537742631201
1956,1960,0.58006230529595
1980,1960,0.00671462829736211
1920,1960,0.00124069478908189
1908,1960,0.003584229390681
1900,1960,0
1912,1960,0
1906,1960,0
1904,1960,0
1896,1960,0
2004,1968,0.000465983224603914
2008,1968,0.000461325542057512
1992,1968,0.00224765018389865
1996,1968,0.0012233484795526
1932,1968,0.00143061516452074
1936,1968,0.0054945054945055
1948,1968,0.0125925925925926
1928,1968,0.00284629981024668
1952,1968,0.0226659471127901
1960,1968,0.202122954444936
1968,1968,1
1924,1968,0.00182149362477231
1964,1968,0.532522031053294
2012,1968,0.000482392667631452
1984,1968,0.0136887608069164
1988,1968,0.00411921492609644
2016,1968,0
2000,1968,0.000487408610885459
1972,1968,0.517586318167151
1976,1968,0.167145938173976
1956,1968,0.0517133956386293
1980,1968,0.0470023980815348
1920,1968,0.00124069478908189
1908,1968,0
1900,1968,0
1912,1968,0
1906,1968,0
1904,1968,0
1896,1968,0
2004,1924,0.000310655483069276
2008,1924,0.000153775180685837
1992,1924,0
1996,1924,0.000174764068507515
1932,1924,0.143061516452074
1936,1924,0.0923076923076923
1948,1924,0.0103703703703704
1928,1924,0.531309297912713
1952,1924,0.00431732325957906
1960,1924,0.000884564352056612
1968,1924,0.000746547219111609
1924,1924,1
1964,1924,0.00125891733109526
2012,1924,0
1984,1924,0
1988,1924,0.000242306760358614
2016,1924,0
2000,1924,0.00016246953696182
1972,1924,0.000322684737011939
1976,1924,0.000359453630481668
1956,1924,0.000623052959501558
1980,1924,0.000479616306954436
1920,1924,0.656327543424318
1908,1924,0.109318996415771
1900,1924,0.0776699029126214
1912,1924,0.207119741100324
1906,1924,0.0655737704918033
1904,1924,0.0178571428571429
1896,1924,0.114285714285714
2004,1964,0.000621310966138552
2008,1964,0.000461325542057512
1992,1964,0.0018389865140989
1996,1964,0.00139811254806012
1932,1964,0.00286123032904149
1936,1964,0.00659340659340659
1948,1964,0.0288888888888889
1928,1964,0.00094876660341556
1952,1964,0.0604425256341069
1960,1964,0.562140645731977
1968,1964,0.473684210526316
1924,1964,0.00273224043715847
1964,1964,1
2012,1964,0.000321595111754301
1984,1964,0.00828530259365994
1988,1964,0.00387690816573782
2016,1964,0.000248138957816377
2000,1964,0.000324939073923639
1972,1964,0.147466924814456
1976,1964,0.0427749820273185
1956,1964,0.193769470404984
1980,1964,0.00863309352517986
1920,1964,0.00124069478908189
1908,1964,0.003584229390681
1900,1964,0
1912,1964,0
1906,1964,0
1904,1964,0
1896,1964,0
2004,2012,0.241068654861758
2008,2012,0.550822697216669
1992,2012,0.0159378831221904
1996,2012,0.0393219154141908
1932,2012,0
1936,2012,0.0021978021978022
1948,2012,0.000740740740740741
1928,2012,0
1952,2012,0.000539665407447383
1960,2012,0
1968,2012,0.00111982082866741
1924,2012,0
1964,2012,0.000839278220730172
2012,2012,1
1984,2012,0.00540345821325648
1988,2012,0.00751150957111703
2016,2012,0.900744416873449
2000,2012,0.09374492282697
1972,2012,0.00129073894804776
1976,2012,0.00251617541337168
1956,2012,0.000623052959501558
1980,2012,0.00287769784172662
1920,2012,0
1908,2012,0
1900,2012,0
1912,2012,0
1906,2012,0
1904,2012,0
1896,2012,0
2004,1984,0.00574712643678161
2008,1984,0.00322927879440258
1992,1984,0.132202697180221
1996,1984,0.0461377140859839
1932,1984,0
1936,1984,0
1948,1984,0.00148148148148148
1928,1984,0
