Team,MaleCount,FemaleCount,TotalCount
Canada-1,13.0,9.0,22.0
Canada-2,13.0,9.0,22.0
Canopus,6.0,0.0,6.0
Cape Verde,9.0,9.0,18.0
Caprice,4.0,0.0,4.0
Carabinier-15,1.0,0.0,1.0
Carabinier-5,1.0,0.0,1.0
Cayman Islands,68.0,12.0,80.0
Central African Republic,51.0,16.0,67.0
"Central Turnverein, Chicago",6.0,0.0,6.0
Century Boat Club-1,4.0,0.0,4.0
Cercle Nautique de Reims-4,2.0,0.0,2.0
Cercle de l'Aviron Roubaix-4,10.0,0.0,10.0
Ceres II,3.0,0.0,3.0
Cha-Cha III,2.0,0.0,2.0
Chad,31.0,10.0,41.0
Chaje II,3.0,0.0,3.0
Chamukina,2.0,0.0,2.0
Chance,2.0,0.0,2.0
Chicago Archers,4.0,0.0,4.0
Chicago Athletic Association,5.0,0.0,5.0
Chicago Athletic Association-2,11.0,0.0,11.0
Chile,654.0,97.0,751.0
China,1992.0,2187.0,4179.0
China-1,30.0,42.0,72.0
China-2,28.0,42.0,70.0
Chinese Taipei,593.0,395.0,988.0
Chinese Taipei-1,2.0,4.0,6.0
Chinese Taipei-2,2.0,4.0,6.0
Chok,3.0,0.0,3.0
Christian Brothers' College-1,11.0,0.0,11.0
Chuckles,2.0,0.0,2.0
Cicely-1,1.0,0.0,1.0
Cinara-13,1.0,0.0,1.0
Cincinnati Archers,4.0,4.0,8.0
Ciocca,5.0,0.0,5.0
Ciocca II,7.0,0.0,7.0
Ciocca III,3.0,0.0,3.0
Circus,2.0,0.0,2.0
Ciss,3.0,0.0,3.0
Clementine V,2.0,0.0,2.0
Club Nautique de Dieppe-5,6.0,0.0,6.0
Club Nautique de Franais-1,4.0,0.0,4.0
Club Nautique de Lyon-2,8.0,0.0,8.0
Cobweb-1,5.0,0.0,5.0
Colette-10,1.0,0.0,1.0
Colette-12,2.0,0.0,2.0
Colombia,773.0,293.0,1066.0
Comanche,2.0,0.0,2.0
Combine,2.0,0.0,2.0
Comoros,11.0,8.0,19.0
Compigne Polo Club,4.0,0.0,4.0
Complex II,4.0,0.0,4.0
"Concordia Turnverein, St Louis",6.0,0.0,6.0
Congo (Brazzaville),70.0,35.0,105.0
Congo (Kinshasa),68.0,25.0,93.0
Cook Islands,24.0,16.0,40.0
Cornwall,15.0,0.0,15.0
Costa Rica,175.0,65.0,240.0
Cote d'Ivoire,135.0,58.0,193.0
Covunco III,2.0,0.0,2.0
Crabe I-11,1.0,0.0,1.0
Crabe I-2,1.0,0.0,1.0
Crabe I-3,1.0,0.0,1.0
Crabe II-1,5.0,0.0,5.0
Crabe II-12,5.0,0.0,5.0
Crabe II-4,5.0,0.0,5.0
Crete,11.0,0.0,11.0
Croatia,526.0,181.0,707.0
Crocodile-11,2.0,0.0,2.0
Crocodile-13,1.0,0.0,1.0
Cuba,1880.0,584.0,2464.0
Cupidon III,5.0,0.0,5.0
Cupidon Viking,5.0,0.0,5.0
Cuxhaven,1.0,0.0,1.0
Cyprus,131.0,47.0,178.0
Czech Republic,530.0,380.0,910.0
Czech Republic-1,12.0,10.0,22.0
Czech Republic-2,12.0,10.0,22.0
Czechoslovakia,2651.0,698.0,3349.0
Czechoslovakia-1,8.0,0.0,8.0
Czechoslovakia-2,6.0,0.0,6.0
Czechoslovakia-3,6.0,0.0,6.0
Daisy,5.0,0.0,5.0
Damoiselle,3.0,0.0,3.0
Damoiselle IV,3.0,0.0,3.0
Danaldo,2.0,0.0,2.0
Dansk Idrts Forbund,11.0,0.0,11.0
Danuta,5.0,0.0,5.0
Danzig,1.0,0.0,1.0
"Davenport Turngemeinde, Davenport",6.0,0.0,6.0
DeRuyter,8.0,0.0,8.0
Demi-Mondaine-15,1.0,0.0,1.0
Demi-Mondaine-17,1.0,0.0,1.0
Denmark,2665.0,647.0,3312.0
Denmark-1,18.0,12.0,30.0
Denmark-2,18.0,12.0,30.0
Denmark-3,2.0,0.0,2.0
Denmark-4,2.0,0.0,2.0
Denmark/Sweden,6.0,0.0,6.0
Deutscher Schwimm Verband Berlin,4.0,0.0,4.0
Devon and Somerset Wanderers,12.0,0.0,12.0
Diablo,2.0,0.0,2.0
Diabolo St Maurice,1.0,0.0,1.0
Dick-8,1.0,0.0,1.0
Dinah V,3.0,0.0,3.0
Djibouti,33.0,5.0,38.0
Djinn,10.0,0.0,10.0
Dolfijn,6.0,0.0,6.0
Dominica,11.0,7.0,18.0
Dominican Republic,205.0,72.0,277.0
Don Schufro,1.0,0.0,1.0
Donar III,3.0,0.0,3.0
Dormy-1,3.0,0.0,3.0
Dresden,1.0,0.0,1.0
Druzhba,6.0,0.0,6.0
Ducky-16,1.0,0.0,1.0
Ducky-4,2.0,0.0,2.0
Dylan-2,2.0,0.0,2.0
EA II,6.0,0.0,6.0
East Germany,1346.0,752.0,2098.0
East Germany-1,2.0,0.0,2.0
East Germany-2,2.0,0.0,2.0
East Germany-3,2.0,0.0,2.0
Ecuador,213.0,64.0,277.0
Edelweiss II-1,3.0,0.0,3.0
Egypt,1438.0,181.0,1619.0
Eissero VI,2.0,0.0,2.0
El Salvador,152.0,66.0,218.0
Eleda,7.0,0.0,7.0
Elisabeth V,3.0,0.0,3.0
Elisabeth X,5.0,0.0,5.0
Elsie,4.0,0.0,4.0
Emily,5.0,0.0,5.0
Encore,2.0,1.0,3.0
England,12.0,0.0,12.0
England-1,23.0,0.0,23.0
Enotria,2.0,0.0,2.0
Equatorial Guinea,29.0,11.0,40.0
Eritrea,37.0,6.0,43.0
Erna Signe,10.0,0.0,10.0
Escapade,3.0,0.0,3.0
Espadarte,2.0,0.0,2.0
Espardate,2.0,0.0,2.0
Esperia,5.0,0.0,5.0
Espuma del Mar,4.0,0.0,4.0
Essen,1.0,0.0,1.0
Esterel-1,2.0,0.0,2.0
Estonia,363.0,82.0,445.0
Ethiopia,284.0,92.0,376.0
Ethnikos Gymnastikos Syllogos,2.0,0.0,2.0
Evita VI,2.0,0.0,2.0
Fada,2.0,0.0,2.0
Falcon IV,2.0,0.0,2.0
Falcon VI,2.0,0.0,2.0
Faneca,4.0,0.0,4.0
Fantasio III,2.0,0.0,2.0
Fantlet-2,1.0,0.0,1.0
Fantlet-7,2.0,0.0,2.0
Favorite Hammonia-3,11.0,0.0,11.0
Favorite-1,8.0,0.0,8.0
Favorite-17,4.0,0.0,4.0
Federated States of Micronesia,15.0,11.0,26.0
Femur-1,1.0,0.0,1.0
Femur-18,1.0,0.0,1.0
Feo,5.0,1.0,6.0
Fiji,161.0,67.0,228.0
Finland,2967.0,503.0,3470.0
Finland-1,2.0,0.0,2.0
Finland-2,2.0,0.0,2.0
Finn II,3.0,0.0,3.0
Firebird II,2.0,0.0,2.0
Floresco,1.0,0.0,1.0
Formosa,1.0,0.0,1.0
Fornebo,4.0,0.0,4.0
Fortuna,2.0,0.0,2.0
Foxhunters Hurlingham,5.0,0.0,5.0
Fram,5.0,0.0,5.0
Fram III,3.0,0.0,3.0
France,7881.0,2140.0,10021.0
France-1,52.0,6.0,58.0
France-2,38.0,6.0,44.0
France-3,7.0,1.0,8.0
France-4,2.0,0.0,2.0
France/Great Britain,1.0,1.0,2.0
Frankfurt Club,15.0,0.0,15.0
Freddy,2.0,0.0,2.0
Freia-19,1.0,0.0,1.0
Freia-5,2.0,0.0,2.0
Freja,3.0,0.0,3.0
Frieda,5.0,0.0,5.0
Frimousse,3.0,0.0,3.0
Frip IV,2.0,0.0,2.0
Fruits,5.0,0.0,5.0
Gabbiano,3.0,0.0,3.0
Gabon,48.0,15.0,63.0
Galatea II,3.0,0.0,3.0
Galejan,3.0,0.0,3.0
Galerna,3.0,0.0,3.0
Gallant,5.0,0.0,5.0
Gallia II,7.0,0.0,7.0
Galopin De La Font,1.0,0.0,1.0
Galopin-20,2.0,0.0,2.0
Galopin-9,4.0,0.0,4.0
Galt Football Club,13.0,0.0,13.0
Gam II,2.0,0.0,2.0
Gambia,43.0,13.0,56.0
Gem,2.0,0.0,2.0
Gem II,2.0,0.0,2.0
Gem III,2.0,0.0,2.0
Gem IV,2.0,0.0,2.0
Gem VII,2.0,0.0,2.0
Georgia,186.0,61.0,247.0
Germania II,6.0,0.0,6.0
"Germania Ruder Club, Hamburg",9.0,0.0,9.0
"Germania Ruder Club, Hamburg-2",5.0,0.0,5.0
Germany,5252.0,2126.0,7378.0
Germany-1,23.0,20.0,43.0
Germany-2,22.0,20.0,42.0
Germany-3,2.0,0.0,2.0
Germany/United States,2.0,0.0,2.0
Ghana,300.0,58.0,358.0
Gilliatt V,3.0,0.0,3.0
Girl Pat,3.0,0.0,3.0
Giselle-6,2.0,0.0,2.0
Gitana-2,10.0,0.0,10.0
Gitana-21,5.0,0.0,5.0
Glider,2.0,0.0,2.0
Glisten,2.0,0.0,2.0
Great Britain,7444.0,2865.0,10309.0
Great Britain-1,48.0,22.0,70.0
Great Britain-2,48.0,22.0,70.0
Great Britain-3,11.0,3.0,14.0
Great Britain-4,7.0,1.0,8.0
Great Britain/Germany,2.0,0.0,2.0
Greece,2173.0,615.0,2788.0
